Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-2_1-12_Rate_Per_1000,HBIPS-2_1-12_Num,HBIPS-2_1-12_Den,HBIPS-2_1-12_Footnote,HBIPS-2_13-17_Rate_Per_1000,HBIPS-2_13-17_Num,HBIPS-2_13-17_Den,HBIPS-2_13-17_Footnote,HBIPS-2_18-64_Rate_Per_1000,HBIPS-2_18-64_Num,HBIPS-2_18-64_Den,HBIPS-2_18-64_Footnote,HBIPS-2_65_Over_Rate_Per_1000,HBIPS-2_65_Over_Num,HBIPS-2_65_Over_Den,HBIPS-2_65_Over_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-3_1-12_Rate_Per_1000,HBIPS-3_1-12_Num,HBIPS-3_1-12_Den,HBIPS-3_1-12_Footnote,HBIPS-3_13-17_Rate_Per_1000,HBIPS-3_13-17_Num,HBIPS-3_13-17_Den,HBIPS-3_13-17_Footnote,HBIPS-3_18-64_Rate_Per_1000,HBIPS-3_18-64_Num,HBIPS-3_18-64_Den,HBIPS-3_18-64_Footnote,HBIPS-3_65_Over_Rate_Per_1000,HBIPS-3_65_Over_Num,HBIPS-3_65_Over_Den,HBIPS-3_65_Over_Footnote,HBIPS-4_Measure_Description,HBIPS-4_Overall_%_of_Total,HBIPS-4_Overall_Num,HBIPS-4_Overall_Den,HBIPS-4_Overall_Footnote,HBIPS-4_1-12_%_of_Total,HBIPS-4_1-12_Num,HBIPS-4_1-12_Den,HBIPS-4_1-12_Footnote,HBIPS-4_13-17_%_of_Total,HBIPS-4_13-17_Num,HBIPS-4_13-17_Den,HBIPS-4_13-17_Footnote,HBIPS-4_18-64_%_of_Total,HBIPS-4_18-64_Num,HBIPS-4_18-64_Den,HBIPS-4_18-64_Footnote,HBIPS-4_65_Over_%_of_Total,HBIPS-4_65_Over_Num,HBIPS-4_65_Over_Den,HBIPS-4_65_Over_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-5_1-12_%_of_Total,HBIPS-5_1-12_Num,HBIPS-5_1-12_Den,HBIPS-5_1-12_Footnote,HBIPS-5_13-17_%_of_Total,HBIPS-5_13-17_Num,HBIPS-5_13-17_Den,HBIPS-5_13-17_Footnote,HBIPS-5_18-64_%_of_Total,HBIPS-5_18-64_Num,HBIPS-5_18-64_Den,HBIPS-5_18-64_Footnote,HBIPS-5_65_Over_%_of_Total,HBIPS-5_65_Over_Num,HBIPS-5_65_Over_Den,HBIPS-5_65_Over_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-6_1-12_%_of_Total,HBIPS-6_1-12_Num,HBIPS-6_1-12_Den,HBIPS-6_1-12_Footnote,HBIPS-6_13-17_%_of_Total,HBIPS-6_13-17_Num,HBIPS-6_13-17_Den,HBIPS-6_13-17_Footnote,HBIPS-6_18-64_%_of_Total,HBIPS-6_18-64_Num,HBIPS-6_18-64_Den,HBIPS-6_18-64_Footnote,HBIPS-6_65_Over_%_of_Total,HBIPS-6_65_Over_Num,HBIPS-6_65_Over_Den,HBIPS-6_65_Over_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,HBIPS-7_1-12_%_of_Total,HBIPS-7_1-12_Num,HBIPS-7_1-12_Den,HBIPS-7_1-12_Footnote,HBIPS-7_13-17_%_of_Total,HBIPS-7_13-17_Num,HBIPS-7_13-17_Den,HBIPS-7_13-17_Footnote,HBIPS-7_18-64_%_of_Total,HBIPS-7_18-64_Num,HBIPS-7_18-64_Den,HBIPS-7_18-64_Footnote,HBIPS-7_65_Over_%_of_Total,HBIPS-7_65_Over_Num,HBIPS-7_65_Over_Den,HBIPS-7_65_Over_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date
"190133","ALLEN PARISH HOSPITAL","108 6TH AVENUE","KINDER","LA","70648","ALLEN","Hours of physical-restraint use","0.72","82","4749","","Not Available","0","0","7","Not Available","0","0","7","0.72","82","4749","","Not Available","0","0","7","Hours of seclusion","0.02","1.83","4749","","Not Available","0","0","7","Not Available","0","0","7","0.02","1.83","4749","","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","17.05%","30","176","","Not Available","0","0","7","Not Available","0","0","7","17.05%","30","176","","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","29","29","","Not Available","0","0","7","Not Available","0","0","7","100.00%","29","29","","Not Available","0","0","7","Post-discharge continuing care plan created","99.43%","175","176","","Not Available","0","0","7","Not Available","0","0","7","99.43%","175","176","","Not Available","0","0","7","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","98.86%","174","176","","Not Available","0","0","7","Not Available","0","0","7","98.86%","174","176","","Not Available","0","0","7","Alcohol Use Screening","100.00%","176","176","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"190144","MINDEN MEDICAL CENTER","NO 1 MEDICAL PLAZA","MINDEN","LA","71055","WEBSTER","Hours of physical-restraint use","0.00","0","1361","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","124","","0.00","0","1237","","Hours of seclusion","0.00","0","1361","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","124","","0.00","0","1237","","Patients discharged on multiple antipsychotic medications","0.00%","0","50","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","0.00%","0","44","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Post-discharge continuing care plan created","100.00%","125","125","","Not Available","0","0","7","Not Available","0","0","7","100.00%","19","19","","100.00%","106","106","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","125","125","","Not Available","0","0","7","Not Available","0","0","7","100.00%","19","19","","100.00%","106","106","","Alcohol Use Screening","100.00%","53","53","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"190146","EAST JEFFERSON GENERAL HOSPITAL","4200 HOUMA BLVD","METAIRIE","LA","70006","JEFFERSON","Hours of physical-restraint use","0.05","6.85","5714","","Not Available","0","0","7","Not Available","0","0","7","0.16","6.85","1837","","0.00","0","3877","","Hours of seclusion","0.35","48.17","5714","","Not Available","0","0","7","Not Available","0","0","7","1.09","48.17","1837","","0.00","0","3877","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","82.96%","224","270","","Not Available","0","0","7","Not Available","0","0","7","96.15%","75","78","","77.60%","149","192","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","58.89%","159","270","","Not Available","0","0","7","Not Available","0","0","7","53.85%","42","78","","60.94%","117","192","","Alcohol Use Screening","4.71%","17","361","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"190160","GLENWOOD REGIONAL MEDICAL CENTER","503 MCMILLAN ROAD","WEST MONROE","LA","71291","OUACHITA","Hours of physical-restraint use","0.00","0","10595","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","5414","","0.00","0","5181","","Hours of seclusion","0.00","0","10595","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","5414","","0.00","0","5181","","Patients discharged on multiple antipsychotic medications","14.53%","34","234","","Not Available","0","0","7","Not Available","0","0","7","12.24%","18","147","","18.39%","16","87","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","85.39%","409","479","","Not Available","0","0","7","Not Available","0","0","7","90.24%","259","287","","78.13%","150","192","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","71.19%","341","479","","Not Available","0","0","7","Not Available","0","0","7","70.38%","202","287","","72.40%","139","192","","Alcohol Use Screening","78.69%","491","624","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"190177","LAKEVIEW REGIONAL MEDICAL CENTER","95 JUDGE TANNER BOULEVARD","COVINGTON","LA","70433","ST. TAMMANY","Hours of physical-restraint use","0.00","0","4716","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","897","","0.00","0","3819","","Hours of seclusion","0.00","0","4716","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","897","","0.00","0","3819","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.67%","301","302","","Not Available","0","0","7","Not Available","0","0","7","100.00%","99","99","","99.51%","202","203","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","99.67%","301","302","","Not Available","0","0","7","Not Available","0","0","7","100.00%","99","99","","99.51%","202","203","","Alcohol Use Screening","100.00%","335","335","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"190183","LEONARD J CHABERT MEDICAL CENTER","1978 INDUSTRIAL BLVD","HOUMA","LA","70363","TERREBONNE","Hours of physical-restraint use","0.38","68.71","7556","","Not Available","0","0","7","Not Available","0","0","7","0.38","68.71","7487","","0.00","0","69","","Hours of seclusion","0.00",".5","7556","","Not Available","0","0","7","Not Available","0","0","7","0.00",".5","7487","","0.00","0","69","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Post-discharge continuing care plan created","55.75%","126","226","","Not Available","0","0","7","Not Available","0","0","7","55.05%","120","218","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","55.31%","125","226","","Not Available","0","0","7","Not Available","0","0","7","55.05%","120","218","","Not Available","Not Available","Not Available","1","Alcohol Use Screening","40.29%","224","556","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"190312","OUR LADY OF THE ANGELS HOSPITAL","433 PLAZA STREET","BOGALUSA","LA","70427","WASHINGTON","Hours of physical-restraint use","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Hours of seclusion","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Post-discharge continuing care plan created","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Alcohol Use Screening","Not Available","Not Available","Not Available","7","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"191307","DEQUINCY MEMORIAL HOSPITAL","110 WEST 4TH STREET","DEQUINCY","LA","70633","CALCASIEU","Hours of physical-restraint use","0.00","0","2443","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1513","","0.00","0","930","","Hours of seclusion","0.00","0","2443","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1513","","0.00","0","930","","Patients discharged on multiple antipsychotic medications","42.59%","69","162","","Not Available","0","0","7","Not Available","0","0","7","36.45%","39","107","","54.55%","30","55","","Patients discharged on multiple antipsychotic medications with appropriate justification","93.06%","67","72","","Not Available","0","0","7","Not Available","0","0","7","95.00%","38","40","","90.63%","29","32","","Post-discharge continuing care plan created","100.00%","162","162","","Not Available","0","0","7","Not Available","0","0","7","100.00%","95","95","","100.00%","67","67","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","162","162","","Not Available","0","0","7","Not Available","0","0","7","100.00%","95","95","","100.00%","67","67","","Alcohol Use Screening","100.00%","162","162","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"191315","HARDTNER MEDICAL CENTER","1102 N PINE ROAD","OLLA","LA","71465","LA SALLE","Hours of physical-restraint use","0.00","0","2306","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1061","","0.00","0","1245","","Hours of seclusion","0.09","5","2306","","Not Available","0","0","7","Not Available","0","0","7","0.16","4","1061","","0.03","1","1245","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00%","200","200","","Not Available","0","0","7","Not Available","0","0","7","100.00%","95","95","","100.00%","105","105","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","200","200","","Not Available","0","0","7","Not Available","0","0","7","100.00%","95","95","","100.00%","105","105","","Alcohol Use Screening","100.00%","207","207","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"191319","ACADIA ST LANDRY","810 SOUTH BROADWAY STREET","CHURCH POINT","LA","70525","ACADIA","Hours of physical-restraint use","0.49","34","2876","","Not Available","0","0","7","Not Available","0","0","7","0.51","34","2787","","0.00","0","89","","Hours of seclusion","0.00","0","2876","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","2787","","0.00","0","89","","Patients discharged on multiple antipsychotic medications","14.94%","46","308","","Not Available","0","0","7","Not Available","0","0","7","14.57%","44","302","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","46","46","","Not Available","0","0","7","Not Available","0","0","7","100.00%","44","44","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00%","308","308","","Not Available","0","0","7","Not Available","0","0","7","100.00%","302","302","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","308","308","","Not Available","0","0","7","Not Available","0","0","7","100.00%","302","302","","Not Available","Not Available","Not Available","1","Alcohol Use Screening","78.90%","243","308","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"191322","ABROM KAPLAN MEMORIAL HOSPITAL","1310 WEST SEVENTH STREET","KAPLAN","LA","70548","VERMILION","Hours of physical-restraint use","0.00","0","3314","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","3246","","0.00","0","68","","Hours of seclusion","0.05","3.75","3314","","Not Available","0","0","7","Not Available","0","0","7","0.05","3.75","3246","","0.00","0","68","","Patients discharged on multiple antipsychotic medications","33.33%","100","300","","Not Available","0","0","7","Not Available","0","0","7","33.11%","98","296","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","87.00%","87","100","","Not Available","0","0","7","Not Available","0","0","7","86.73%","85","98","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.00%","297","300","","Not Available","0","0","7","Not Available","0","0","7","98.99%","293","296","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","98.33%","295","300","","Not Available","0","0","7","Not Available","0","0","7","98.31%","291","296","","Not Available","Not Available","Not Available","1","Alcohol Use Screening","92.33%","277","300","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"191324","OCHSNER ST ANNE GENERAL HOSPITAL","4608 HIGHWAY 1","RACELAND","LA","70394","LAFOURCHE","Hours of physical-restraint use","0.00","0","611","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","611","","Not Available","0","0","7","Hours of seclusion","0.00","0","611","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","611","","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Post-discharge continuing care plan created","56.88%","124","218","","Not Available","0","0","7","Not Available","0","0","7","57.08%","121","212","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","54.13%","118","218","","Not Available","0","0","7","Not Available","0","0","7","54.25%","115","212","","Not Available","Not Available","Not Available","1","Alcohol Use Screening","39.06%","141","361","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"194007","NORTHLAKE BEHAVIORAL HEALTH SYSTEM","23515 HIGHWAY 190","MANDEVILLE","LA","70448","ST. TAMMANY","Hours of physical-restraint use","0.02","9.97","21283","","0.02",".17","286","","0.04","4.95","5357","","0.01","4.85","15635","","0.00","0","5","","Hours of seclusion","0.18","90.59","21283","","0.00","0","286","","0.11","14.33","5357","","0.20","76.26","15635","","0.00","0","5","","Patients discharged on multiple antipsychotic medications","11.86%","116","978","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","12.25%","109","890","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Post-discharge continuing care plan created","100.00%","1752","1752","","100.00%","21","21","","100.00%","288","288","","100.00%","1442","1442","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","1752","1752","","100.00%","21","21","","100.00%","288","288","","100.00%","1442","1442","","Not Available","Not Available","Not Available","1","Alcohol Use Screening","34.10%","429","1258","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"194008","EASTERN LA MENTAL HEALTH SYSTEM","4502 HIGHWAY 951","JACKSON","LA","70748","EAST FELICIANA","Hours of physical-restraint use","0.01","10.84","42272","","Not Available","0","0","7","Not Available","0","0","7","0.01","10.84","40607","","0.00","0","1665","","Hours of seclusion","0.00",".92","42272","","Not Available","0","0","7","Not Available","0","0","7","0.00",".92","40607","","0.00","0","1665","","Patients discharged on multiple antipsychotic medications","11.03%","57","517","","Not Available","0","0","7","Not Available","0","0","7","11.22%","57","508","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","92.98%","53","57","","Not Available","0","0","7","Not Available","0","0","7","92.98%","53","57","","Not Available","0","0","7","Post-discharge continuing care plan created","98.69%","752","762","","Not Available","0","0","7","Not Available","0","0","7","98.67%","743","753","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","91.86%","700","762","","Not Available","0","0","7","Not Available","0","0","7","91.77%","691","753","","Not Available","Not Available","Not Available","1","Alcohol Use Screening","86.65%","571","659","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"194020","BRENTWOOD HOSPITAL","1006 HIGHLAND AVENUE","SHREVEPORT","LA","71106","CADDO","Hours of physical-restraint use","0.04","53.13","51457","","0.07","14.29","8798","","0.06","27.47","18469","","0.02","11.37","22416","","0.00","0","1774","","Hours of seclusion","0.40","498.67","51457","","0.37","79.04","8798","","0.23","103.24","18469","","0.59","316.39","22416","","0.00","0","1774","","Patients discharged on multiple antipsychotic medications","2.35%","25","1064","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","3.57%","15","420","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","83.33%","20","24","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","85.71%","12","14","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","99.87%","1480","1482","","100.00%","268","268","","100.00%","479","479","","99.66%","592","594","","100.00%","141","141","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","98.45%","1459","1482","","99.25%","266","268","","99.58%","477","479","","97.14%","577","594","","98.58%","139","141","","Alcohol Use Screening","100.00%","395","395","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"194022","LONGLEAF HOSPITAL","44 VERSAILLES BLVD","ALEXANDRIA","LA","71303","RAPIDES","Hours of physical-restraint use","0.02","11.26","18847","","0.04","3.23","3590","","0.03","5.76","7788","","0.01","2.27","7315","","0.00","0","154","","Hours of seclusion","0.00","0","18901","","0.00","0","3590","","0.00","0","7788","","0.00","0","7369","","0.00","0","154","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","0.00%","0","77","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Post-discharge continuing care plan created","40.35%","253","627","","41.30%","76","184","","41.70%","98","235","","36.87%","73","198","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","39.87%","250","627","","40.76%","75","184","","40.85%","96","235","","36.87%","73","198","","Not Available","Not Available","Not Available","1","Alcohol Use Screening","90.71%","205","226","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
