"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","250","","07/01/2014","06/30/2015"
"AL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","240","","07/01/2014","06/30/2015"
"AR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","219","","07/01/2014","06/30/2015"
"AZ","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","274","","07/01/2014","06/30/2015"
"CA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","305","","07/01/2014","06/30/2015"
"CO","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","228","","07/01/2014","06/30/2015"
"CT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","318","","07/01/2014","06/30/2015"
"DC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","526","","07/01/2014","06/30/2015"
"DE","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","411.5","","07/01/2014","06/30/2015"
"FL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","277.5","","07/01/2014","06/30/2015"
"GA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","272","","07/01/2014","06/30/2015"
"HI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","312","","07/01/2014","06/30/2015"
"IA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","212","","07/01/2014","06/30/2015"
"ID","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","237.5","","07/01/2014","06/30/2015"
"IL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","250.5","","07/01/2014","06/30/2015"
"IN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","216","","07/01/2014","06/30/2015"
"KS","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","205","","07/01/2014","06/30/2015"
"KY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","246","","07/01/2014","06/30/2015"
"LA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","261","","07/01/2014","06/30/2015"
"MA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","309","","07/01/2014","06/30/2015"
"MD","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","325","","07/01/2014","06/30/2015"
"ME","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","337.5","","07/01/2014","06/30/2015"
"MI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","272","","07/01/2014","06/30/2015"
"MN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","220","","07/01/2014","06/30/2015"
"MO","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","246","","07/01/2014","06/30/2015"
"MS","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","218.5","","07/01/2014","06/30/2015"
"MT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","252","","07/01/2014","06/30/2015"
"NC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","259","","07/01/2014","06/30/2015"
"ND","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","220","","07/01/2014","06/30/2015"
"NE","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","207","","07/01/2014","06/30/2015"
"NH","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","318","","07/01/2014","06/30/2015"
"NJ","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","338","","07/01/2014","06/30/2015"
"NM","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","292","","07/01/2014","06/30/2015"
"NV","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","310","","07/01/2014","06/30/2015"
"NY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","366","","07/01/2014","06/30/2015"
"OH","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","248","","07/01/2014","06/30/2015"
"OK","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","224.5","","07/01/2014","06/30/2015"
"OR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","240.5","","07/01/2014","06/30/2015"
"PA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","275","","07/01/2014","06/30/2015"
"PR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"RI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","298","","07/01/2014","06/30/2015"
"SC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","260.5","","07/01/2014","06/30/2015"
"SD","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","196","","07/01/2014","06/30/2015"
"TN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","225","","07/01/2014","06/30/2015"
"TX","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","271","","07/01/2014","06/30/2015"
"UT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","243.5","","07/01/2014","06/30/2015"
"VA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","261","","07/01/2014","06/30/2015"
"VI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"VT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","311","","07/01/2014","06/30/2015"
"WA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","272","","07/01/2014","06/30/2015"
"WI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","207","","07/01/2014","06/30/2015"
"WV","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","263","","07/01/2014","06/30/2015"
"WY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_MEDIUM_MIN","265","","07/01/2014","06/30/2015"
"AK","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","380","","07/01/2014","06/30/2015"
"AL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","282","","07/01/2014","06/30/2015"
"AR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","251","","07/01/2014","06/30/2015"
"AZ","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","292","","07/01/2014","06/30/2015"
"CA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","354","","07/01/2014","06/30/2015"
"CO","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","252.5","","07/01/2014","06/30/2015"
"CT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","396","","07/01/2014","06/30/2015"
"DC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","452.5","","07/01/2014","06/30/2015"
"DE","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","468","","07/01/2014","06/30/2015"
"FL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","302","","07/01/2014","06/30/2015"
"GA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","304","","07/01/2014","06/30/2015"
"HI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"IA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","229.5","","07/01/2014","06/30/2015"
"ID","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","254","","07/01/2014","06/30/2015"
"IL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","300.5","","07/01/2014","06/30/2015"
"IN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","267","","07/01/2014","06/30/2015"
"KS","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","286","","07/01/2014","06/30/2015"
"KY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","289.5","","07/01/2014","06/30/2015"
"LA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","270","","07/01/2014","06/30/2015"
"MA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","339","","07/01/2014","06/30/2015"
"MD","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","369","","07/01/2014","06/30/2015"
"ME","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","359","","07/01/2014","06/30/2015"
"MI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","297","","07/01/2014","06/30/2015"
"MN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","243.5","","07/01/2014","06/30/2015"
"MO","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","259","","07/01/2014","06/30/2015"
"MS","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","229","","07/01/2014","06/30/2015"
"MT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","316","","07/01/2014","06/30/2015"
"NC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","292","","07/01/2014","06/30/2015"
"ND","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","225","","07/01/2014","06/30/2015"
"NE","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","330","","07/01/2014","06/30/2015"
"NH","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","312","","07/01/2014","06/30/2015"
"NJ","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","359.5","","07/01/2014","06/30/2015"
"NM","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","345","","07/01/2014","06/30/2015"
"NV","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","367","","07/01/2014","06/30/2015"
"NY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","381","","07/01/2014","06/30/2015"
"OH","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","281","","07/01/2014","06/30/2015"
"OK","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","256","","07/01/2014","06/30/2015"
"OR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","246.5","","07/01/2014","06/30/2015"
"PA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","297","","07/01/2014","06/30/2015"
"PR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"RI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"SC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","254.5","","07/01/2014","06/30/2015"
"SD","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","232","","07/01/2014","06/30/2015"
"TN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","264","","07/01/2014","06/30/2015"
"TX","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","283.5","","07/01/2014","06/30/2015"
"UT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","224","","07/01/2014","06/30/2015"
"VA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","294.5","","07/01/2014","06/30/2015"
"VI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"VT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","376","","07/01/2014","06/30/2015"
"WA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","279","","07/01/2014","06/30/2015"
"WI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","273","","07/01/2014","06/30/2015"
"WV","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","286","","07/01/2014","06/30/2015"
"WY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"AK","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"AL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","324","","07/01/2014","06/30/2015"
"AR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","252","","07/01/2014","06/30/2015"
"AZ","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","313","","07/01/2014","06/30/2015"
"CA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","410","","07/01/2014","06/30/2015"
"CO","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","257","","07/01/2014","06/30/2015"
"CT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","370","","07/01/2014","06/30/2015"
"DC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","528","","07/01/2014","06/30/2015"
"DE","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","444","","07/01/2014","06/30/2015"
"FL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","324","","07/01/2014","06/30/2015"
"GA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","367","","07/01/2014","06/30/2015"
"HI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","323","","07/01/2014","06/30/2015"
"IA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","287","","07/01/2014","06/30/2015"
"ID","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","265","","07/01/2014","06/30/2015"
"IL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","288","","07/01/2014","06/30/2015"
"IN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","272","","07/01/2014","06/30/2015"
"KS","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","224","","07/01/2014","06/30/2015"
"KY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","358","","07/01/2014","06/30/2015"
"LA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","321","","07/01/2014","06/30/2015"
"MA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","384","","07/01/2014","06/30/2015"
"MD","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","444","","07/01/2014","06/30/2015"
"ME","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","316","","07/01/2014","06/30/2015"
"MI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","369","","07/01/2014","06/30/2015"
"MN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","273","","07/01/2014","06/30/2015"
"MO","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","292","","07/01/2014","06/30/2015"
"MS","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","272","","07/01/2014","06/30/2015"
"MT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"NC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","307","","07/01/2014","06/30/2015"
"ND","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"NE","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","205","","07/01/2014","06/30/2015"
"NH","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"NJ","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","396","","07/01/2014","06/30/2015"
"NM","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","530","","07/01/2014","06/30/2015"
"NV","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","383","","07/01/2014","06/30/2015"
"NY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","492","","07/01/2014","06/30/2015"
"OH","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","304","","07/01/2014","06/30/2015"
"OK","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","269","","07/01/2014","06/30/2015"
"OR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","264","","07/01/2014","06/30/2015"
"PA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","322","","07/01/2014","06/30/2015"
"PR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"RI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","363","","07/01/2014","06/30/2015"
"SC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","324","","07/01/2014","06/30/2015"
"SD","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"TN","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","305","","07/01/2014","06/30/2015"
"TX","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","330","","07/01/2014","06/30/2015"
"UT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","250","","07/01/2014","06/30/2015"
"VA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","324","","07/01/2014","06/30/2015"
"VI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"VT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"WA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","318","","07/01/2014","06/30/2015"
"WI","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","236","","07/01/2014","06/30/2015"
"WV","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","340","","07/01/2014","06/30/2015"
"WY","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_VERY_HIGH_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2014","06/30/2015"
"AK","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","305","","07/01/2014","06/30/2015"
"AL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","263","","07/01/2014","06/30/2015"
"AR","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","231","","07/01/2014","06/30/2015"
"AZ","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","275","","07/01/2014","06/30/2015"
"CA","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","339","","07/01/2014","06/30/2015"
"CO","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","239","","07/01/2014","06/30/2015"
"CT","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","347","","07/01/2014","06/30/2015"
"DC","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","502","","07/01/2014","06/30/2015"
"DE","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","441","","07/01/2014","06/30/2015"
"FL","Emergency Department","ED1 - Median time from emergency department arrival to emergency department departure for admitted emergency department patients","ED_1b_OVERALL_MIN","291","","07/01/2014","06/30/2015"
