ASC_Name,Provider_ID,NPI,City,State,ZIP_Code,Year,ASC1_Measure_Rate,ASC1_Footnote,ASC2_Measure_Rate,ASC2_Footnote,ASC3_Measure_Rate,ASC3_Footnote,ASC4_Measure_Rate,ASC4_Footnote,ASC5_Measure_Rate,ASC5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC6_SSChecklist,ASC6_Footnote,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Musculoskeletal,ASC_7_Skin,ASC_7_Genitourinary,ASC_7_Multi_System,ASC_7_Nervous_System,ASC_7_Respiratory,ASC7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC9_Footnote,ASC_10_rate,ASC10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date
Laser & Surgical Services at Center for Sight LLC,10C0001341,1194813303,Sarasota,FL,34239,2014,0.000,,0.336,,0.000,,0.336,,,N/A (1),01/01/2014,12/31/2014,Yes,,11361,0,11361,0,0,0,0,0,0,,01/01/2014,12/31/2014,9.68,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Advanced Surgery Center,10C0001538,1194987222,Lake Worth,FL,33449,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,3924,3924,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,0.00,,2014/2015,51.24,,23.91,,01/01/2014,12/31/2014
"St. Lukes Surgical at The Villages, Inc",10C0001016,1205184603,The Villages,FL,32162,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,53.25,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"St. Lukes Surgical at The Villages, Inc",10C0001572,1205184603,The Villages,FL,32162,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1573,0,1565,0,8,0,0,0,0,,01/01/2014,12/31/2014,27.27,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Interventional Rehabilitation Center, LLC",10C0001294,1205839487,Pensacola,FL,32504,2014,1.107,,0.000,,0.000,,0.000,,117.65,,01/01/2014,12/31/2014,Yes,,3878,0,0,23,0,0,0,3855,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
The Surgery & Endoscopy Center LLC,10C0001404,1205872108,Sebring,FL,33870,2014,0.000,,0.000,,0.000,,1.255,,954.95,,01/01/2014,12/31/2014,Yes,,8728,5353,3107,0,268,0,0,0,0,,01/01/2014,12/31/2014,24.32,,2014/2015,41.79,,89.58,,01/01/2014,12/31/2014
Florida Orthopaedic Institute Surgery Center LLC,10C0001364,1205945243,Temple Terrace,FL,33637,2014,0.000,,0.000,,0.000,,0.000,,980.25,,01/01/2014,12/31/2014,Yes,,9746,0,0,3002,26,0,0,6718,0,,01/01/2014,12/31/2014,65.84,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Riverwalk Surgery Center, Inc",10C0001277,1215025010,Fort Myers,FL,33919,2014,0.000,,0.000,,0.000,,0.000,,990.28,,01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Foundation for Advanced Eye Care,10C0001142,1215900246,Sunrise,FL,33351,2014,0.000,,0.000,,1.326,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,1778,0,1778,0,0,0,0,0,0,,01/01/2014,12/31/2014,67.03,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Miami Hand Center, LLC",10C0001312,1215988308,Miami,FL,33176,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,1279,0,0,1222,35,0,0,22,0,,01/01/2014,12/31/2014,55.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Parkside Surgery Center,10C0001162,1215990627,Jacksonville,FL,32205,2014,0.000,,1.715,,0.000,,0.000,,967.86,,01/01/2014,12/31/2014,Yes,,1001,326,240,233,6,11,0,185,0,,01/01/2014,12/31/2014,77.17,,2014/2015,79.55,,100.0,,01/01/2014,12/31/2014
Cortez Foot Surgery Center P A,10C0001081,1225077241,Bradenton,FL,34207,2014,0.000,,0.000,,0.000,,0.000,,978.02,,01/01/2014,12/31/2014,Yes,,531,0,0,397,134,0,0,0,0,,01/01/2014,12/31/2014,33.33,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
St Marks Surgical Center LLC,10C0001498,1225199482,Fort Myers,FL,33912,2014,1.214,,0.486,,2.427,,0.000,,882.81,,01/01/2014,12/31/2014,Yes,,5230,0,5230,0,0,0,0,0,0,,01/01/2014,12/31/2014,23.26,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Oculoplastics of Southwest Fl,10C0001438,1235123100,Fort Myers,FL,33908,2014,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2014,12/31/2014,Yes,,217,0,162,0,55,0,0,0,0,,01/01/2014,12/31/2014,41.67,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Seven Springs Surgery Center Inc,10C0001153,1235163171,New Port Richey,FL,34655,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,2239,0,2239,0,0,0,0,0,0,,01/01/2014,12/31/2014,90.91,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Lake Surgery & Endoscopy Center LTD,10C0001244,1235165531,Leesburg,FL,34788,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,1325,1325,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,62.50,,2014/2015,95.27,,90.00,,01/01/2014,12/31/2014
Physicians Outpatient Surgery Center LLC,10C0001497,1235393356,Ft. Lauderdale,FL,33334,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,2831,51,905,1803,7,16,0,48,1,,01/01/2014,12/31/2014,60.53,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Palm Beach Eye Clinic,10C0001054,1245201425,West Palm Beach,FL,33407,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,292,0,292,0,0,0,0,0,0,,01/01/2014,12/31/2014,75.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Bayfront Same Day Surgery Center, LLC.",10C0001374,1255309951,Saint Petersburg,FL,33701,2014,0.000,,0.000,,0.000,,0.000,,910.71,,01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,58.90,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
The Surgery Center of Melbourne,10C0001280,1255311635,Melbourne,FL,32901,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,6794,6794,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,25.81,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
"Eyelid Surgery Center, LLC",10C0001438,1255325080,Fort Myers,FL,33908,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,217,0,162,0,55,0,0,0,0,,01/01/2014,12/31/2014,41.67,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Ambulatory Surgery Center of Boca Raton, LLC",10C0001493,1255486494,Boca Raton,FL,33496,2014,0.000,,0.000,,0.000,,0.000,,956.52,,01/01/2014,12/31/2014,Yes,,1393,0,0,38,0,0,0,1355,0,,01/01/2014,12/31/2014,58.82,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Red Hills Surgical Center, LLC",10C0001561,1255634044,Tallahassee,FL,32308,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,3388,56,349,1357,5,0,18,1473,130,,01/01/2014,12/31/2014,71.32,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Naples Day Surgery South,10C0001034,1265407142,Naples,FL,34102,2014,0.000,,0.000,,0.000,,1.032,,997.51,,01/01/2014,12/31/2014,Yes,,3947,1899,708,123,130,286,11,701,89,,01/01/2014,12/31/2014,84.16,,2014/2015,27.08,,84.38,,01/01/2014,12/31/2014
The Surgery Center of Ft Lauderdale,10C0001302,1265466288,Lauderdale Lakes,FL,33319,2014,0.000,,0.727,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,18746,5151,0,159,0,1,0,13433,2,,01/01/2014,12/31/2014,5.48,,2014/2015,87.30,,60.32,,01/01/2014,12/31/2014
Vero Beach Surgery Center LLC,10C0001353,1265484851,Vero Beach,FL,32960,2014,0.000,,0.000,,0.000,,1.529,,1000.0,,01/01/2014,12/31/2014,Yes,,2025,0,0,1901,0,0,0,124,0,,01/01/2014,12/31/2014,60.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Coral View Surgery Center, LLC",10C0001205,1265494553,Miami,FL,33144,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,3750,2363,1387,0,0,0,0,0,0,,01/01/2014,12/31/2014,0.00,,2014/2015,80.42,,100.0,,01/01/2014,12/31/2014
South Florida Ambulatory Surgical Center LLC,10C0001428,1265534556,South Miami,FL,33143,2014,0.000,,0.000,,0.000,,1.389,,975.21,,01/01/2014,12/31/2014,Yes,,4843,2009,1786,48,14,674,312,0,0,,01/01/2014,12/31/2014,64.62,,2014/2015,86.46,,73.96,,01/01/2014,12/31/2014
"Riverside Surgical Center,LLC",10C0001541,1265672356,Jacksonville,FL,32244,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,0,0,0,0,0,0,0,0,0,N/A (5),01/01/2014,12/31/2014,65.85,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
All Saints Surgery Center,10C0001148,1275536393,Brooksville,FL,34613,2014,0.000,,0.000,,0.000,,0.000,,776.65,,01/01/2014,12/31/2014,Yes,,1650,399,815,345,3,1,0,70,17,,01/01/2014,12/31/2014,22.58,,2014/2015,11.11,,17.46,,01/01/2014,12/31/2014
Surgery Center of Key West LLC,10C0001520,1275719981,Key West,FL,33040,2014,0.000,,0.000,,0.000,,2.130,,1000.0,,01/01/2014,12/31/2014,Yes,,1738,1095,473,15,2,153,0,0,0,,01/01/2014,12/31/2014,97.78,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
Eye Surgery Center of North Florida LLC,10C0001500,1275740839,Jacksonville,FL,32256,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,908,0,908,0,0,0,0,0,0,,01/01/2014,12/31/2014,56.52,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"South Palm Ambulatory Surgery Center, LLC",10C0001478,1285642652,Boca Raton,FL,33496,2014,0.000,,0.000,,0.000,,1.687,,977.78,,01/01/2014,12/31/2014,Yes,,9489,9044,344,80,1,0,0,20,0,,01/01/2014,12/31/2014,5.36,,2014/2015,38.54,,71.88,,01/01/2014,12/31/2014
Tlc Outpatient Surgery and Laser Center,10C0001512,1285815522,Lady Lake,FL,32159,2014,0.000,,0.000,,0.000,,0.463,,993.84,,01/01/2014,12/31/2014,Yes,,3310,0,769,737,252,0,0,1351,201,,01/01/2014,12/31/2014,93.33,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
West Chase Surgery Center LTD,10C0001543,1285874065,Tampa,FL,33626,2014,0.000,,0.000,,0.000,,0.000,,975.00,,01/01/2014,12/31/2014,Yes,,2042,37,208,481,25,9,0,1271,11,,01/01/2014,12/31/2014,16.22,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Central Florida Endoscopy & Surgical Institute of Ocala LLC,10C0001459,1295710317,Ocala,FL,34471,2014,0.000,,0.000,,0.000,,0.000,,997.13,,01/01/2014,12/31/2014,Yes,,3954,3818,136,0,0,0,0,0,0,,01/01/2014,12/31/2014,63.16,,2014/2015,,N/A (5),47.31,,01/01/2014,12/31/2014
Waterside Ambulatory Surgical Center Inc,10C0001149,1295739217,West Palm Beach,FL,33407,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,2780,2780,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,78.26,,2014/2015,31.85,,69.83,,01/01/2014,12/31/2014
Plaza Surgery Center II,10C0001484,1295759637,Jacksonville,FL,32216,2014,0.000,,0.000,,0.000,,1.236,,989.95,,01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,49.44,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Cape Coral Surgery Center,10C0001466,1295772101,Cape Coral,FL,33904,2014,0.000,,0.000,,0.000,,0.000,,337.42,,01/01/2014,12/31/2014,Yes,,1747,0,0,831,5,0,0,911,0,,01/01/2014,12/31/2014,24.05,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Santa Lucia Surgical Center LLC,10C0001126,1295793974,Miami,FL,33145,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Gulf Comprehensive Surgery Center,10C0001504,1295860302,Englewood,FL,34223,2014,0.000,,0.000,,0.000,,1.621,,,N/A (1),01/01/2014,12/31/2014,Yes,,2744,2591,0,151,2,0,0,0,0,,01/01/2014,12/31/2014,73.68,,2014/2015,87.00,,98.06,,01/01/2014,12/31/2014
Crane Creek Surgery Center,10C0001548,1306087135,Melbourne,FL,32901,2014,0.000,,0.000,,0.000,,0.000,,994.19,,01/01/2014,12/31/2014,Yes,,1470,32,0,109,0,62,0,1267,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
South Broward Endoscopy L L C,10C0001453,1306833009,Cooper City,FL,33026,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,8921,8921,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,25.58,,2014/2015,89.67,,33.79,,01/01/2014,12/31/2014
Palm Beach Outpatient Surgical Center,10C0001024,1306843867,Lake Worth,FL,33461,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1222,0,1222,0,0,0,0,0,0,,01/01/2014,12/31/2014,10.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Park Pl Surgery Center,10C0001430,1306866173,Maitland,FL,32751,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,4588,0,117,468,0,37,0,3966,0,,01/01/2014,12/31/2014,32.50,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
C Med Ambulatory Surgery Center,10C0001289,1306892609,Clearwater,FL,33765,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,10671,0,0,10217,0,0,0,454,0,,01/01/2014,12/31/2014,65.85,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Carillon Surgery Center LLC,10C0001531,1316189095,St. Petersburg,FL,33716,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,Yes,,1403,116,171,962,6,0,0,146,2,,01/01/2014,12/31/2014,74.16,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
"Treasure Coast Urology Center, LLC",10C0001523,1316253438,Vero Beach,FL,32960,2014,0.000,,0.000,,0.000,,0.000,,989.80,,01/01/2014,12/31/2014,Yes,,370,0,0,1,0,109,0,260,0,,01/01/2014,12/31/2014,,N/A (5),2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Bayonet Point Surgery & Endoscopy Center,10C0001433,1316900830,Hudson,FL,34667,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,6140,4584,704,586,22,191,9,44,0,,01/01/2014,12/31/2014,41.12,,2014/2015,66.67,,57.29,,01/01/2014,12/31/2014
Tampa Outpatient Surgical Facility,10C0001496,1316973050,Tampa,FL,33603,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,Yes,,8463,3395,489,239,63,115,507,3608,47,,01/01/2014,12/31/2014,50.60,,2014/2015,50.00,,67.35,,01/01/2014,12/31/2014
"Grove Pl Surgery Center ,LLC",10C0001391,1326045014,Vero Beach,FL,32960,2014,0.000,,0.000,,0.000,,0.000,,990.00,,01/01/2014,12/31/2014,Yes,,4242,0,0,413,1129,0,161,2209,330,,01/01/2014,12/31/2014,56.86,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"St. Lucy's Outpatient Surgery Center, Inc",10C0001085,1326047101,Port Charlotte,FL,33952,2014,0.000,,0.000,,0.000,,0.504,,,N/A (5),01/01/2014,12/31/2014,Yes,,2487,0,2487,0,0,0,0,0,0,,01/01/2014,12/31/2014,72.41,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Updegraff Vision Laser and Surgery Center,10C0001396,1326170036,St. Petersburg,FL,33713,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,2778,0,2778,0,0,0,0,0,0,,01/01/2014,12/31/2014,18.37,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Tallahassee Plastic Surgery Center,10C0001533,1326181314,Tallahassee,FL,32308,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,121,0,46,24,49,0,0,2,0,,01/01/2014,12/31/2014,50.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Advanced Surgery Center of Orlando LLC,10C0001573,1326309394,Orlando,FL,32819,2014,2.801,,0.000,,0.000,,0.000,,979.59,,01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Advanced Ambulatory Surgery Center LLC,10C0001565,1326358326,Altamonte Springs,FL,32701,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
St Michaels Surgery Center Inc.,10C0001347,1336100189,Largo,FL,33770,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,Yes,,1197,0,1197,0,0,0,0,0,0,,01/01/2014,12/31/2014,57.89,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Promenades Surgery Center LLC,10C0001376,1336181742,Port Charlotte,FL,33952,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,143,0,1,0,142,0,0,0,0,,01/01/2014,12/31/2014,50.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Sand Lake Surgicenter LLC,10C0001507,1336445873,Orlando,FL,32819,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,1951,863,98,318,5,0,0,532,135,,01/01/2014,12/31/2014,94.74,,2014/2015,100.0,,96.83,,01/01/2014,12/31/2014
Sarasota Endoscopy Center LP,10C0001216,1346207834,Sarasota,FL,34239,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,73.33,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Bayview Endoscopy Center,10C0001339,1346213634,Sarasota,FL,34239,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,8093,2896,0,0,2,0,0,5195,0,,01/01/2014,12/31/2014,77.14,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
Lakeland Surgical & Diagnostic Center LLP,10C0001272,1346244845,Lakeland,FL,33805,2014,0.000,,0.260,,0.000,,1.822,,1000.0,,01/01/2014,12/31/2014,Yes,,17643,14613,5,1922,88,58,0,322,635,,01/01/2014,12/31/2014,58.24,,2014/2015,31.55,,91.55,,01/01/2014,12/31/2014
Bascom Palmer Surgery Center,10C0001481,1346317039,Palm Beach Gardens,FL,33418,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1824,0,1824,0,0,0,0,0,0,,01/01/2014,12/31/2014,98.28,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
National Surgical Centers of America LLC,10C0001592,1346662186,Port St Lucie,FL,34986,2014,,,,,,,,,,,,,Yes,,477,0,0,0,0,0,0,477,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Endo-Surgical Center of Florida LLC,10C0001568,1356654610,Orlando,FL,32825,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,6764,6698,66,0,0,0,0,0,0,,01/01/2014,12/31/2014,73.08,,2014/2015,43.27,,,N/A (5),01/01/2014,12/31/2014
Center for Specialized Surgery,10C0001072,1366499923,Tampa,FL,33607,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,387,0,0,287,0,0,99,1,0,,01/01/2014,12/31/2014,,N/A (5),2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Tallahassee Outpatient Surgery Center,10C0001411,1366524126,Tallahassee,FL,32308,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,3412,0,2400,6,0,0,0,1006,0,,01/01/2014,12/31/2014,80.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Swfi Institute of Ambulatory Surgery Inc,10C0001020,1366549511,Fort Myers,FL,33990,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,257,26,0,35,196,0,0,0,0,,01/01/2014,12/31/2014,50.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Eye Physicians of Pinellas, PA",10C0001385,1366710741,Largo,FL,33770,2014,0.000,,0.245,,0.000,,0.244,,978.95,,01/01/2014,12/31/2014,Yes,,7877,0,7877,0,0,0,0,0,0,,01/01/2014,12/31/2014,50.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Tampa Eye and Specialty Surgery Center,10C0001055,1376507194,Tampa,FL,33608,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,3649,0,3649,0,0,0,0,0,0,,01/01/2014,12/31/2014,75.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Florida Eye Clinic Ambulatory Surgery Center, Inc.",10C0001011,1376513440,Altamonte Springs,FL,32701,2014,0.000,,0.000,,0.000,,0.543,,,N/A (5),01/01/2014,12/31/2014,Yes,,6490,0,6490,0,0,0,0,0,0,,01/01/2014,12/31/2014,91.43,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Citrus Ambulatory Surgery Center,10C0001414,1376518357,Orlando,FL,32806,2014,0.000,,0.650,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,11066,11066,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,75.00,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
"Cape Coral Eye Center, P.A.",10C0001071,1376553925,Cape Coral,FL,33904,2014,0.981,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,2055,0,2055,0,0,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Inviga Surgery & Health Center, Inc.",10C0001056,1376578393,Miami,FL,33136,2014,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Same Day Surgery Center,10C0001501,1376580498,Zephyrhills,FL,33542,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,1640,0,1559,0,81,0,0,0,0,,01/01/2014,12/31/2014,41.18,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Florida Specialty Surgery Center LLC,10C0001511,1376748228,St. Petersburg,FL,33709,2014,0.000,,1.471,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,2644,0,0,45,0,0,0,2599,0,,01/01/2014,12/31/2014,66.67,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgicare of Miramar LLC,10C0001545,1376779561,Miramar,FL,33027,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,2132,1233,0,720,0,123,56,0,0,,01/01/2014,12/31/2014,54.10,,2014/2015,48.96,,73.96,,01/01/2014,12/31/2014
"Marion Surgery Center, LLC",10C0001586,1386086411,Ocala,FL,34471,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,670,14,0,407,67,0,0,182,0,,01/01/2014,12/31/2014,51.16,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Central Florida Surgical Center,10C0001094,1386619708,Ocoee,FL,34761,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,3896,3896,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,94.44,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
Physicians Day Surgery Inc,10C0001297,1386647402,Naples,FL,34108,2014,0.000,,0.000,,0.000,,0.000,,998.40,,01/01/2014,12/31/2014,Yes,,3280,94,137,1500,13,0,0,1129,407,,01/01/2014,12/31/2014,66.67,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Beraja Healthcare Corporation,10C0001253,1386654630,Coral Gables,FL,33134,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,Yes,,2189,0,2177,0,12,0,0,0,0,,01/01/2014,12/31/2014,40.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Suncoast Specialty Surgery Center, LLLP",10C0001475,1386681161,New Port Richey,FL,34652,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,14848,6296,1244,7247,31,5,0,25,0,,01/01/2014,12/31/2014,34.38,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Montgomery Eye Center Ambulatory Surgery Center,10C0001048,1386710937,Naples,FL,34103,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1978,0,1978,0,0,0,0,0,0,,01/01/2014,12/31/2014,30.43,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Gaskins Eye Care & Surgery Center,10C0001044,1386792588,Naples,FL,34103,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,645,0,645,0,0,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgery Center at Doral,10C0001519,1386821817,Miami,FL,33166,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,619,37,0,553,4,14,0,11,0,,01/01/2014,12/31/2014,20.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
